label;text
Negative;Bi faydasını görmedim
Neutral;Gövde ve taret zırhı geliştirildi .
Positive;İslam felsefesi ve genel itibariyle felsefenin en temel kavramları açıklanmış ve bu kavram açıklamaları çeşitli alıntılarla desteklenmiş örneklendirilmiş İslam felsefesine ilgi duyan fakat bu alanda henüz okuma yapmamış kimselere kavramları özümsetecek bir giriş kitabı mahiyetinde tavsiye edilebilir
Positive;Bağcılar Kahve Durağı Ürün ve hizmet konusunda hiçbir sıkıntı yaşamadık. Her şey olmasından çok daha iyiydi🙏 çalışma arkadaşlarınız keza aynı şekilde güler yüzlü ve ilgililer fakat kare kod ile okutulan menü fiyatıyla kasa fiyatları bir değil. Kare kod ile sipariş verdiğimizde stres çayı 62, bardakta çayda 25 TL idi. Ödemeye gittiğimiz zaman bizden alınan tutar 102 TL oldu. Hatta kasadaki hanımefendi içtiğimiz 2 kalem ürünü bile söyledi bize. Bu tarz problemler halledilebilir. Benden alınan fazla 15 TL helali hoş olsun fakat hoş değil. Belkide fiyatlarınızı güncellemeyi unuttunuz belkide yanlış hesap yapıldı. O kadarınıda bu mesajı okuyan mekan görevlisi düşünsün😉
Positive;iranı bir defa daha tebrik ettim..bence filme sadece bi yunan üstünlüğü gözüyle bakmak lazım..en sevdiğim film kategorisinde ama zevk alabildiğim düşünülemez..çünkü içimden gelmedi..kral şöyle fati sultan mehmet olsaydı da övünerek böbürlenerek kasılarak izleseydim keşke..inşallah bizimkilerde dünyadan çekinmez de osmanlının yaptıklarını film yapar..bu arada yaptığımız her iyi yorum bize yunanlılardan kin ve düşmanlık olarak geri gelecektir
Negative;GEREKSİZ UZUN SONU BAŞLARDA ABARTTIĞI MERAK UYANDIRDIĞI KADAR BÜYÜK BİR OLAYLA BİTMEYEN BİR KİTAP
Neutral;Ekrandan küçük ,kenarlarda fazla boşluk kalıyor.
Negative;yeni araç şampuanla yıkanmış araca uyguladım ciladan beklenen parlaklık yok uygulaması zor ayrıca plastik aksamı beyazlatıyor ayna vs.. kısaca parasını haketmiyor.
Positive;orijinal ürün, paketleme çok güzel, teslimatta hızlıydı. redoxonu zaten kullanıyorum bu ikinci paketim faydası olduğuna inanıyorum.
Positive;Evet arkadaşlar bende bu ürünü kampa pikniğe giderken taşıma kolaylığı olsun diye almıştım. Ürün ilk geldiğinde gerçekten çok ufak göründü. Denemeden ön yargıya kapıldım almasamıydım diye. Sonunda denedim ve gerçekten inanamadım performansı çok iyi iyi duman çıkarıyor. Gerçekten hoşuma gitti.Lülesi seramik ve bana kırmızı renkte türk bayraklısı geldi. Görünüş olarak da iyi lakin tek kötü tarafı marpucu! Biraz adi daha iyisi olabilirdi. Bu fiyata alınabilir ürün. Yanında bisküvi paketine benzer biçimde kömür göndermişler. Hindistan cevizi kömürü. Denedim 2 kömür 1 saat yetti alınabilir bir ürün.
Positive;Aynı zamanda temiz koku olsun istedim ama kokusu yoktu o yüzden puan kırdım onun dışında diğer özellikleri güzel
