id,score,review
67577,Negative,Yorumlardan bakıp aldım hiç beğenmedim
117994,Negative,Kumaşını kaliteli bulmadım resimdeki gibi durmadı beğenemedim
54940,Positive,hesaplı bir ürün
8337,Positive,asla vazgeçemediğim yıkama ürünü.bir sürü ürün denedim şimdiye kadar.cildim karma bu ürün ne sivilce yapiyor ne kurutuyor.şiddetle tavsiye edilir.
81938,Neutral,kokusu güzel ama alırken bu kadar küçük olduğuna dikkkat etmemiştim
61596,Neutral,cildim yağlı ve akneye meyilli sivilce yapmadı ancak serum sürdüğümde yüzümde kustu sürekli kullanılacak bir krem değil açıkcası bu arada 2 aydır kullanıyorum ona göre bir yorum yaptım bence pişman olunası bir ürün değil ama yeniden alınmaz
134620,Negative,Rengi çok soluk asla fotoğraftaki gibi değil hiç beğenmedim
70099,Neutral,Isıtıcısı güzel ısıtıyor fiyatı çok iyi bir ürün pişman olmazsınız alın derim
49265,Negative,Butun gece sarj ediyorum sadece bir kez yuzumu yikamaya bile yetmiyor sarji 👎🏼
104265,Neutral,Fena değil
14200,Neutral,küçük olmasına karşı bayağı etkili. ama oyle uzun süre nem vermiyor. ya benim cildim cooooooookkk kuru anında emiyor ya da krem öyle abartıldığı kadar değil. bilemiyorum
133736,Positive,Ürün anlatıldığı gibiydi kesinlikle tavsiye ederim 🙏
110664,Negative,ürünün icerigi ya da kalitesi hakkında bir yorum yapmayacağım. Çünkü patlamış olarak geldi geri gönderemedim ve kullanamadım. Dikkat edin
90904,Neutral,"Ürün çok hızlı geldi, paketlemesi iyiydi."
58006,Neutral,Ürün güzel fakat bayağı küçük geldi boyutu
149357,Neutral,Çok Yakıyo 1 aydır kullanıyorum henüz bir faydası yok
61314,Positive,güzel ürün pahalı diğer markalarla aynı işlevi gerçekleştiriyor fazla para vermeye gerek bile yok
71210,Positive,"Ürün güzel paketlenmiş, kokusu da gayet güzel"
90197,Neutral,rengi güzel fakat ikinci kez düzeltmek için geçerken alttaki tabakayı kaldırıyor.. tek seferde düzgün yapabilmek gerekiyor
20721,Negative,Ürünü almayın arkadaslar küçücük bisey geldi fiyatı fazla gelir bu ürüne gereksiz
81875,Positive,müthiş bir bb krem gerçekten. kapatıcılık iyi kokusu harika kurutmuyor ve sivilce yapmadı. favori 👍
101190,Neutral,Ruj dudak cizgilerine giriyor homojen dagılım gibi durmuyor ama kolay bir sürümü var
23419,Positive,Ürün hızlı ve zamanında geldi. Teşekkür ederim
8368,Positive,Uzun süre kullanılcak bir ürün. cildi toparlamasi güzel.
43308,Neutral,beklentiyi yüksek tutmayın idare eder ama
14427,Neutral,Öyle çok övüldüğü kadar bir etki alamadım. Ne saçlarım yumuşacık oldu ne de buklelerim daha da belirginleşti. Her saçın ihtiyacı farklı tabii ürünü kullanmadan bilemezsiniz bunu maalesef.
88688,Positive,İnanılmaz güzel kokuyor. Diğer yağlar gibi elinde yağlılık birakmıyor ve saçada çok güzel emiliyor. Memnun kaldım.
73461,Neutral,Kokusu çok güzel ama saçlarımı kabarttı be sertleştirdi galiba
60437,Negative,Açık tenliyim fakat bu çok çok açık
128484,Negative,Çok kalitesiz bir ürün çıktı
123676,Negative,"Yorumlardan etkilenip aldım çokta ümitliydim 1buçk ay düzenli kullandım bende sıfır değişiklik oldu, göz altlarımda hafif morluk ve çok küçük bir şişlik vardı , hiç işe yaramadı Açıkcası"
126268,Positive,Kesinlikle alın kaçırmayınn cildinize harika masaj etkisi yaparak temizleme yapıyor alın aldırın
17623,Negative,fazla parfumlu
5357,Positive,Öncelikle bu markayı yaklaşık 4 aydır kullanıyorum ve her siparişleri çabucak geliyor bu mükemmel. C vitamini serumunu ilk kez kullanıyorum ilk gün deneyimim de gerçekten aydınlık bir görüntü elde ettim ilerleyen zamanlarda başarılı olacağını düşünüyorum.
110722,Positive,fiyatı çok iyi çok
19137,Positive,Fiyatına göre iyi Türünculaşmayı önlüyor
50638,Neutral,gözle görülür bir etki görmedim henüz ferahlık hissi güzel
118446,Negative,Kalıbı çok büyük  L aldım XXL gibi kışlık üstelik
144784,Neutral,Yüzünü fazla yağdan arındırıyor fakat derinlemesine bir temizlik yaptığını düşünmüyorum. Şans verilebilir.
28623,Negative,"Fazlasıyla kötü, sivilce yapıyor."
121000,Negative,Kumaşı çok kalitesiz iade edildi
137671,Positive,Yüzüme kullanmak için aldım ellerime de kullanıyorum yumuşacık yapıyor. parfümlü olmasa daha iyi olurdu
11802,Negative,Gereksiz hiç bir şekilde işe yaramıyor
60267,Neutral,Yumusaklik anlaminda normal sac kremlerinden bir farki yok ekstra bir etkisini görmedim. Uzatma konusunda yeni kullanmaya basladigim icin henuz bir sey diyemiyorum
107129,Positive,"fiyatı gayet uygunken aldım orjinal ürün, paketlemesi vs çok iyiydi teşekkür ederim :)"
106525,Neutral,Nemlendirmesi iyi fakat aşırı bir değişim beklemeyin
67684,Neutral,Kalıcılık süper ama uç çok yumuşak olduğundan hemen genleşiyor kalın çekiliyo
121787,Positive,Çok memnunum fönden sonra muhteşem bir yumuşaklık veriyor
26631,Negative,hiç beğenmedim aşırı silikonlu ve hiç bir işe yaramiyor ayrica aşırı küçük
122831,Negative,Gereksiz birürün
4150,Negative,"Buğday tenliyim rengi çok koyu geldi,kıvamı biraz katı kolay dağılmıyor."
88995,Neutral,Pigmentasyonu zayıf
116493,Positive,Ürün boyutu gayet iyi güzel paketlenmişti çok beğendim fiyatı uygunken alın
45702,Negative,Resim de görünen aksine iki sıra geldi beğenmedim
2933,Negative,Kumaşı çok kötü hiç esnek ve toparlayıcı değil.  İade ediyorum
64409,Positive,çok güzel bir ürün. ilk kullanımda farkı hissettim.
133966,Negative,Aldım ama herhangi bir faydasını görmedm
148526,Neutral,Ürün el kadar çok minik
86852,Neutral,Beğendim güzel
67215,Neutral,idare eder
120119,Neutral,Çok etkili değil ya da sıksık uygulamak gerekiyor
33827,Positive,"inanilmaz güzel,göründüğünden 5 kat daha büyük😄kesinlikle tavsiye edilir"
44154,Positive,ürünu inirim kuponu ile çok iyi bir fiyata aldim. sivilceli ve akneli ciltler icin muhteşem bir yuz yikama jeli.
50574,Negative,Alali iki ay oldu ama hiç bir fark görmedim. Para boşuna  gitti. Bir yildiz bile çok.
87606,Neutral,Yanında dezenfektenide olmasını isterdim umarım işe yarar fazla basit bir ürün gibi
40592,Negative,Çok kötü kılı kırıyo asla çekmiyo
118307,Positive,Güzel Lıght rengi en ideal renk buğday tenliyseniz
92706,Neutral,valla şimdilik hoşuma gitti umarım yaza kadar daha hoş bir görünüme destek olur
45893,Positive,kokusuna bayıldım gerçekten çok güzel
20935,Negative,". Renkleri inanılmaz soluk , diğer markalara göre oldukça belirsiz işaretleme yapıyor pişman oldum aldığıma.."
48878,Positive,ürün gayet güzel.. firca kismi yumusak diger kisim da silikon dan yapilmis 1 karis boyu var kullanimi pratik sevdim😊
103914,Positive,Cildim neme doydu . Ürünün ambalajı büyük
113107,Neutral,Bir etkisini görmedim ama kullanıyorum
135799,Negative,Hiç beğenmedim varla yok arası
128874,Negative,"Büyük gögüsleri olan için ideal bir südyen değil, askıları bir kullanımdan sonra gevşiyor ve südyen yokmuş gibi oluyor çok beğenmedim"
11803,Negative,Aşırı bol büyük bunu göze alarak sipariş verin
16962,Negative,Şu an çok pek bir fark göremiyorum görünce yazacağım
7466,Neutral,Gayet güzel orjinal ürün 👍🏻
102046,Negative,yorumlara göre aldım ama beğenmedim
25789,Negative,çok kötü ve ince hiç kaliteli değil
73270,Negative,Saclarimda dokulme yapti bir ay kendine getirmek icin ugrastim saclarimi
128759,Neutral,"Ürünün bu tipteki diğer ürünlerden tek farkı saçı sertleştirmiyor ve güzel kokuyor, yorumlara bakarak almıştım ancak yazıldığı kadar etkisini göremedim henüz"
146637,Positive,Canan Volkan Çetin'in tavsiyesi üzerine aldım. Harika bir ürün kesinlikle tavsiye ediyorum 👏👏
93050,Neutral,Sevdiğim bir kokuydu fakat ürünün boyutu biraz küçük geldi
110101,Negative,gözlerimi çok yakıyor sevmedim
23181,Neutral,ürün boyutu gayet iyi ve güzel etkiside bayağı var tavsiye ederim ☺️
84026,Positive,güzel bir ürün fakat nemlendiriyor bilginiz olsun
